Line #,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"3","kabelhål","","BAT-, BAT+","2","","","","","","",""
"22","RF24L01","","RF","1","","","","","","",""
"24","Horizontal button"," C127506","SW4, SW5","2","","","","","","",""
"9","Cap Semi"," C161276","C21","1","","","","","","",""
"2","Res1"," C269728","8","1","","","","","","",""
"25","ATMEGA328P-AU","C14877","U1","1","","","","","","",""
"27","CSTCE16M0V53-R0","C32180","X1","1","","","","","","",""
"6","Cap","C40894","C3","1","","","","","","",""
"12","LED red","C84256","D2","1","","","","","","",""
"11","LED green","C84260","D1","1","","","","","","",""
"4","Cap","C107456","C1","1","","","","","","",""
"18","Header 2","C109361","P2","1","","","","","","",""
"16","WS2812B-Mini","C114583","LD1_U_Column1, LD1_U_Column2, LD1_U_Column3, LD1_U_Column4, LD1_U_Column5, LD1_U_Column6, LD1_U_Column7, LD1_U_Column8, LD1_U_Column9, LD1_U_Column10, LD1_U_Column12, LD1_U_Column13, LD1_U_Column14, LD1_U_Column15, LD2_U_Column1, LD2_U_Column2, LD2_U_Column3, LD2_U_Column4, LD2_U_Column5, LD2_U_Column6, LD2_U_Column7, LD2_U_Column8, LD2_U_Column9, LD2_U_Column10, LD2_U_Column12, LD2_U_Column13, LD2_U_Column14, LD2_U_Column15, LD3_U_Column1, LD3_U_Column2, LD3_U_Column3, LD3_U_Column4, LD3_U_Column5, LD3_U_Column6, LD3_U_Column7, LD3_U_Column8, LD3_U_Column9, LD3_U_Column10, LD3_U_Column12, LD3_U_Column13, LD3_U_Column14, LD3_U_Column15, LD4_U_Column1, LD4_U_Column2, LD4_U_Column3, LD4_U_Column4, LD4_U_Column5, LD4_U_Column6, LD4_U_Column7, LD4_U_Column8, LD4_U_Column9, LD4_U_Column10, LD4_U_Column12, LD4_U_Column13, LD4_U_Column14, LD4_U_Column15, LD5_U_Column1, LD5_U_Column2, LD5_U_Column3, LD5_U_Column4, LD5_U_Column5, LD5_U_Column6, LD5_U_Column7, LD5_U_Column8, LD5_U_Column9, LD5_U_Column10, LD5_U_Column12, LD5_U_Column13, LD5_U_Column14, LD5_U_Column15, LD6_U_Column1, LD6_U_Column2, LD6_U_Column3, LD6_U_Column4, LD6_U_Column5, LD6_U_Column6, LD6_U_Column7, LD6_U_Column8, LD6_U_Column9, LD6_U_Column10, LD6_U_Column12, LD6_U_Column13, LD6_U_Column14, LD6_U_Column15, LD7_U_Column1, LD7_U_Column2, LD7_U_Column3, LD7_U_Column4, LD7_U_Column5, LD7_U_Column6, LD7_U_Column7, LD7_U_Column8, LD7_U_Column9, LD7_U_Column10, LD7_U_Column12, LD7_U_Column13, LD7_U_Column14, LD7_U_Column15","98","","","","","","",""
"13","STPS1L40A","C165940","D4","1","","","","","","",""
"1","Res1","C269531","1, 2, 3, 4, 5","5","","","","","","",""
"20","22k","C269535","R1","1","","","","","","",""
"21","1K","C269744","R2, R3","2","","","","","","",""
"7","Cap","C282730","C4, C5, C6","3","","","","","","",""
"23","Vertical switch","C294508","SW1, SW3","2","","","","","","",""
"10","Cap Semi","C342307","C22","1","","","","","","",""
"8","10uF","C342827","C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20","14","","","","","","",""
"14"," PJ-3280-B-SMT","C381130","J1","1","","","","","","",""
"15","3.5mm Jack","C381130","J2","1","","","","","","",""
"5","Cap","C393688","C2","1","","","","","","",""
"17","FTDI","Header, 6-Pin, Right Angle","P1","1","","","","","","",""
"19","Header 8","Header, 8-Pin","P2","1","","","","","","",""
"26","LM340MP-5.0/NOPB","Series 3-Terminal Positive Regulators, 4-pin SOT-223, Pb-Free","U2","1","TI National Semiconductor","LM340MP-5.0/NOPB","Volume Production","Farnell","1469097","1,26","1,26"
